OBJECTID,FID,id,lat,long,cbsaName,cbsaGUID,plantId,tabID,panelID,panelNumbe,hoverText,heading,weeklyImpr,productTyp,POINT_X,POINT_Y
55,128966,716205,47.61863,-122.32981,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130212,1075243,14239,DENNY WY NL 205F E/O STEWART ST WF-1 (TRIVISION),W,81333,POSTERS,-13617692.16,6043641.353
56,128767,716071,47.615155,-122.311738,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129737,1074989,7085,E MADISON ST NL 58F W/O 16TH AV E WF-1,W,75138,POSTERS,-13615680.39,6043067.486
57,128150,715649,47.517481,-122.316544,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130573,1074247,20878,DES MOINES WY S WL 213F N/O S 96TH ST SF-1,S,28416,POSTERS,-13616215.39,6026953.008
58,128594,715943,47.569577,-122.334462,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130309,1074762,16311,1ST AV S WL 735F S/O S SPOKANE ST NF-2,N,61975,POSTERS,-13618210.02,6035544.184
59,129069,716273,47.661145,-122.317192,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129787,1075366,7547,NE 45TH ST SL 133F E/O ROOSEVELT WY NE WF-1 (TRIVISION),W,144541,POSTERS,-13616287.53,6050665.443
60,129149,716327,47.652691,-122.375937,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130113,1075465,12256,15TH AV W EL 122F S/O EMERSON ST NF-1,N,242651,BULLETINS,-13622826.99,6049268.265
61,128135,715640,47.518059,-122.315241,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130570,1074232,20837,W MARGINAL WY S WL 275F S/O 14TH AV S NF-2,N,79660,POSTERS,-13616070.34,6027048.279
62,128573,715929,47.521465,-122.319894,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130568,1074738,20816,W MARGINAL WY SW WL 130F E/O 10TH AV S NF-2,N,91318,POSTERS,-13616588.31,6027609.71
63,127528,715268,47.563198,-122.378388,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,3637134,1073540,18038,FAUNTLEROY WY SW SL 97F N/O SW OREGON ST EF-1 (TRIVISION),NE,84062,POSTERS,-13623099.84,6034491.762
64,129873,716807,47.618427,-122.345986,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130196,1076333,14070,DENNY WY SL 81F E/O TAYLOR AV N EF-1 (TRIVISION),E,89259,POSTERS,-13619492.86,6043607.828
